"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.57479958992467,0.819,0.365,0,"0","FABP1"
0,2.06873182433865,0.694,0.282,0,"0","PCP4"
0,1.59670149972346,0.876,0.545,0,"0","S100A1"
0,1.98656974015163,0.461,0.195,0,"0","PRAP1"
0,1.24339011827987,0.951,0.759,0,"0","CXCL14"
0,1.32848992745865,0.797,0.618,0,"0","MDH1"
0,0.671045349789469,0.925,0.755,0,"0","RBP5"
0,1.04368655586049,0.851,0.694,0,"0","NDUFB1"
0,0.899468132085191,0.97,0.826,0,"0","APOE"
0,0.903002478197783,0.873,0.735,0,"0","UQCR11"
0,0.894988748256223,0.919,0.787,0,"0","SUCLG1"
0,1.0224616582381,0.919,0.797,0,"0","ATP5ME"
0,1.37537021518328,0.997,0.885,0,"0","MT1H"
0,1.03852141424373,0.993,0.883,0,"0","MT1E"
0,1.01111251624902,0.995,0.885,0,"0","MT1F"
0,0.955187690606454,0.998,0.906,0,"0","MT1X"
0,1.47474144842204,0.999,0.91,0,"0","GPX3"
0,0.7818316086985,0.947,0.87,0,"0","UQCRQ"
0,1.1479411137023,0.998,0.935,0,"0","MT2A"
0,1.24757090894634,1,0.96,0,"0","MT1G"
0,0.768188094915665,0.977,0.945,0,"0","ATP5F1E"
0,0.590721258099626,0.988,0.968,0,"0","COX7C"
0,0.49474105380957,1,0.998,0,"0","FTL"
2.4367712905407e-318,0.788993566906253,0.867,0.775,4.69614563113003e-314,"0","POLR2L"
8.39377170725054e-287,0.672372221033128,0.894,0.836,1.61764768342132e-282,"0","NDUFB2"
3.86241386635856e-276,0.76677980423877,0.845,0.765,7.44364400324623e-272,"0","ATP5MD"
1.16134840739002e-275,0.844960371028224,0.789,0.665,2.23815065072205e-271,"0","ATOX1"
1.05222153022209e-246,0.641170071263622,0.858,0.786,2.02784133304401e-242,"0","UQCR10"
1.56548063268988e-239,0.315499676659036,0.999,0.998,3.01699427531994e-235,"0","RPL41"
1.34664047152134e-234,0.670793842186274,0.837,0.773,2.59524551671592e-230,"0","NDUFA1"
8.12184889862332e-230,0.424327142939469,0.96,0.898,1.56524271974269e-225,"0","RPS29"
1.15822983892422e-221,0.814381521303817,0.735,0.552,2.23214054557475e-217,"0","PCSK1N"
7.20373364889646e-219,1.5745327778421,0.383,0.184,1.38830354881532e-214,"0","NKAIN4"
7.47225808485019e-202,0.47860362253247,0.936,0.899,1.44005357811233e-197,"0","NDUFA4"
1.66196041344885e-199,0.617145500674659,0.837,0.795,3.20293010879863e-195,"0","ATP5MPL"
4.99545036080346e-197,0.76328281496497,0.735,0.632,9.62723193534043e-193,"0","NDUFA3"
9.50103146673898e-195,0.90924694497459,0.675,0.506,1.83103878426994e-190,"0","UGT2B7"
1.71464332959788e-194,0.630480862353938,0.833,0.783,3.30446062480103e-190,"0","COX6C"
3.61350710806948e-189,0.335723869643425,0.987,0.982,6.9639508986715e-185,"0","RPS28"
1.83976673192216e-185,0.465610470327195,0.96,0.85,3.54559844576038e-181,"0","PDZK1IP1"
6.10775489927069e-175,0.861293932679962,0.666,0.53,1.17708652418745e-170,"0","SELENOP"
3.15740617167582e-168,0.585581983578114,0.796,0.675,6.08495317405364e-164,"0","RPS26"
5.71895720961389e-167,1.27462627310062,0.425,0.24,1.10215743343679e-162,"0","ALB"
9.75016296547442e-162,0.353462175653874,0.926,0.798,1.87905140670623e-157,"0","SPP1"
7.12127105745994e-161,0.438137993140523,0.787,0.549,1.37241135819368e-156,"0","HPD"
1.90476896197131e-156,0.263292666356487,0.982,0.774,3.6708707435111e-152,"0","ALDOB"
6.57405455223414e-151,1.35928195812551,0.422,0.269,1.26695179330656e-146,"0","FAM107B"
6.97295624559468e-149,0.598067153906093,0.773,0.701,1.34382812765101e-144,"0","NDUFC1"
1.87022820958256e-148,0.641878120189586,0.773,0.709,3.60430380550751e-144,"0","ATP5IF1"
3.3097593724255e-143,0.339397872170804,0.959,0.955,6.37856826253842e-139,"0","RPL37A"
