"cluster","n_cells","n_markers_total","top_genes","predicted_identity","identity_score"
"0",4872,178,"PCP4, PRAP1, MT1M, S100A1, FABP1","proximal_tubule","1"
"1",3961,445,"AL353751.1, GSTP1, TMEM54, SOD2, APP","stress_injury","2"
"2",3485,362,"AGXT, AC093496.1, MYH8, AC026462.3, GCAT","unassigned","0"
"3",3373,803,"MTRNR2L11, MTRNR2L1, MTRNR2L10, MTRNR2L6, MTRNR2L8","unassigned","0"
"4",864,346,"TRGC2, TRDC, GZMA, FGFBP2, CTSW","unassigned","0"
"5",699,421,"CSF1R, FPR1, S100A12, CSTA, LILRB2","unassigned","0"
"6",620,240,"ABHD14A-ACY1, KCNQ1OT1, REV3L, NEAT1, AC005726.1","unassigned","0"
"7",440,617,"MEG3, GOLGA8B, CNTNAP3B, AC004951.1, RIC3","unassigned","0"
"8",356,383,"TMEM52B, TUBB2B, LINC02121, PVALB, DUSP9","distal_tubule","1"
"9",177,267,"SOX4, C19orf33, TPM1, ANXA2, S100A6","unassigned","0"
"10",128,268,"IGHM, TCL1A, IGHD, CD79A, MS4A1","immune_bcell","2"
"11",106,646,"SLPI, FXYD4, AQP2, CLDN8, HSPG2","distal_tubule","1"
"12",68,348,"DMRT2, MARCH10, ATP6V1G3, SRARP, ATP6V0D2","unassigned","0"
