"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.06873182433865,0.694,0.282,0,0,"PCP4"
0,1.98656974015163,0.461,0.195,0,0,"PRAP1"
3.37971814178787e-131,1.81830714031537,0.259,0.123,6.51339280285358e-127,0,"MT1M"
0,1.59670149972346,0.876,0.545,0,0,"S100A1"
0,1.57479958992467,0.819,0.365,0,0,"FABP1"
0,4.33105238137452,0.263,0.017,0,1,"AL353751.1"
0,3.13338313335492,0.98,0.528,0,1,"GSTP1"
0,2.72587993713757,0.282,0.049,0,1,"TMEM54"
0,2.56279836488311,0.711,0.224,0,1,"SOD2"
0,2.15984869108645,0.358,0.094,0,1,"APP"
0,3.3708066964057,0.633,0.112,0,2,"AGXT"
0,3.32037702314595,0.567,0.098,0,2,"AC093496.1"
0,3.18064098333741,0.255,0.04,0,2,"MYH8"
0,2.71955514491423,0.384,0.092,0,2,"AC026462.3"
0,2.66132209437153,0.392,0.089,0,2,"GCAT"
0,5.78295801845675,0.341,0.007,0,3,"MTRNR2L11"
0,5.701516665152,0.66,0.016,0,3,"MTRNR2L1"
0,5.70044482787225,0.516,0.012,0,3,"MTRNR2L10"
0,5.61390410603598,0.459,0.011,0,3,"MTRNR2L6"
0,4.88710767338779,0.56,0.03,0,3,"MTRNR2L8"
0,11.6216042655848,0.282,0,0,4,"TRGC2"
0,11.620608485535,0.253,0,0,4,"TRDC"
0,10.9866876737439,0.593,0.002,0,4,"GZMA"
0,10.8378604826338,0.391,0.001,0,4,"FGFBP2"
0,10.7854618334197,0.337,0,0,4,"CTSW"
0,12.2653000190803,0.26,0,0,5,"CSF1R"
0,11.3934413921057,0.351,0,0,5,"FPR1"
0,11.1420098846064,0.392,0.001,0,5,"S100A12"
0,11.1051482516317,0.506,0,0,5,"CSTA"
0,11.0189644228075,0.27,0,0,5,"LILRB2"
0,7.0943129470162,0.495,0.009,0,6,"ABHD14A-ACY1"
0,5.28663417938061,0.437,0.018,0,6,"KCNQ1OT1"
0,4.42209748426071,0.285,0.02,0,6,"REV3L"
0,4.37182859704952,0.997,0.108,0,6,"NEAT1"
0,4.19358785105731,0.302,0.019,0,6,"AC005726.1"
0,8.11127828258136,0.28,0.002,0,7,"MEG3"
0,5.02255851356103,0.33,0.007,0,7,"GOLGA8B"
0,4.78544268832127,0.32,0.008,0,7,"CNTNAP3B"
0,4.68005705159169,0.402,0.011,0,7,"AC004951.1"
0,4.47032839509676,0.309,0.009,0,7,"RIC3"
0,9.57894181588592,0.365,0.002,0,8,"TMEM52B"
0,9.01346718723841,0.334,0.002,0,8,"TUBB2B"
0,8.84125832675824,0.295,0.001,0,8,"LINC02121"
0,8.69101435452558,0.433,0.003,0,8,"PVALB"
0,8.68349028350483,0.534,0.004,0,8,"DUSP9"
1.27048625113414e-78,3.29548620946758,0.576,0.132,2.44848110318571e-74,9,"SOX4"
8.46962367698678e-37,3.00925747025509,0.271,0.055,1.63226587502889e-32,9,"C19orf33"
6.60742553876537e-35,2.09387681115499,0.65,0.311,1.27338304983086e-30,9,"TPM1"
2.73467644810669e-22,2.07778009500111,0.305,0.095,5.27026845079121e-18,9,"ANXA2"
6.03106760151766e-52,2.06915870991765,0.627,0.197,1.16230734816448e-47,9,"S100A6"
0,12.9223794593516,0.594,0.001,0,10,"IGHM"
0,12.5155712655758,0.391,0,0,10,"TCL1A"
0,12.4311138723132,0.32,0,0,10,"IGHD"
0,12.1358986004108,0.773,0.001,0,10,"CD79A"
0,10.8768742769974,0.68,0.001,0,10,"MS4A1"
0,11.5236165425008,0.689,0.003,0,11,"SLPI"
0,11.0834057079617,0.642,0.004,0,11,"FXYD4"
0,11.0688528111869,0.642,0.003,0,11,"AQP2"
0,10.0724112431437,0.425,0,0,11,"CLDN8"
0,9.9223984687933,0.274,0.001,0,11,"HSPG2"
0,14.2110544229419,0.5,0,0,12,"DMRT2"
0,11.8399866238617,0.279,0,0,12,"MARCH10"
0,11.0840560530573,0.956,0.001,0,12,"ATP6V1G3"
0,10.323000808539,0.559,0,0,12,"SRARP"
0,10.0236565784601,0.574,0.001,0,12,"ATP6V0D2"
